Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity Min,Relative Humidity Max,Relative Humidity Mean,Heat Index Min,Heat Index Max,Heat Index Mean,Wind Speed Min,Wind Speed Max,Wind Speed Mean,Wind Gust,Wind Direction,Wind Chill Min,Wind Chill Max,Wind Chill Mean,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"324, East McKinney Street, Denton, Denton County, Texas, 76201, United States","01/18/1970 19:12:07",22.2,22.2,22.2,17.0,,,80.03,,,,,,,,330.0,,,,0.0,,,6.2,100.0,,"",33.216,-97.1288,"324 E McKinney St, Denton, TX 76201, United States","324 E McKinney St, Denton, TX 76201, United States","","Overcast"
"324, East McKinney Street, Denton, Denton County, Texas, 76201, United States","01/18/1970 20:12:07",23.1,23.1,23.1,19.7,,,86.63,,,,,,,,352.0,,,,0.0,,,10.6,100.0,1020.8,"",33.216,-97.1288,"324 E McKinney St, Denton, TX 76201, United States","324 E McKinney St, Denton, TX 76201, United States","","Overcast"
"324, East McKinney Street, Denton, Denton County, Texas, 76201, United States","01/18/1970 21:12:07",23.1,23.1,23.1,17.0,,,77.06,,,,,,,,340.0,,,,0.0,,,9.9,100.0,,"",33.216,-97.1288,"324 E McKinney St, Denton, TX 76201, United States","324 E McKinney St, Denton, TX 76201, United States","","Overcast"
"324, East McKinney Street, Denton, Denton County, Texas, 76201, United States","01/18/1970 22:12:07",23.1,23.1,23.1,17.0,,,77.06,,,,,,,,340.0,,,,0.0,,,9.9,100.0,,"",33.216,-97.1288,"324 E McKinney St, Denton, TX 76201, United States","324 E McKinney St, Denton, TX 76201, United States","","Overcast"
"324, East McKinney Street, Denton, Denton County, Texas, 76201, United States","01/18/1970 23:12:07",23.4,23.4,23.4,19.0,,,83.0,,,,,,,,352.0,,,,0.0,,,12.9,100.0,1022.4,"",33.216,-97.1288,"324 E McKinney St, Denton, TX 76201, United States","324 E McKinney St, Denton, TX 76201, United States","","Overcast"
"324, East McKinney Street, Denton, Denton County, Texas, 76201, United States","01/19/1970 00:12:07",22.2,22.2,22.2,16.1,,,76.97,,,,,,,,360.0,,,,0.0,,,9.9,100.0,,"",33.216,-97.1288,"324 E McKinney St, Denton, TX 76201, United States","324 E McKinney St, Denton, TX 76201, United States","","Overcast"
"324, East McKinney Street, Denton, Denton County, Texas, 76201, United States","01/19/1970 01:12:07",22.2,22.2,22.2,16.1,,,76.97,,,,,,,,10.0,,,,0.0,,,9.9,100.0,,"",33.216,-97.1288,"324 E McKinney St, Denton, TX 76201, United States","324 E McKinney St, Denton, TX 76201, United States","","Overcast"
"324, East McKinney Street, Denton, Denton County, Texas, 76201, United States","01/19/1970 02:12:07",22.0,22.0,22.0,17.9,,,84.05,,,,,,,,358.0,,,,0.0,,,12.9,100.0,1023.2,"",33.216,-97.1288,"324 E McKinney St, Denton, TX 76201, United States","324 E McKinney St, Denton, TX 76201, United States","","Overcast"
"324, East McKinney Street, Denton, Denton County, Texas, 76201, United States","01/19/1970 03:12:07",20.9,20.9,20.9,15.2,,,78.07,,,,,,,,10.0,,,,0.0,,,9.9,100.0,,"",33.216,-97.1288,"324 E McKinney St, Denton, TX 76201, United States","324 E McKinney St, Denton, TX 76201, United States","","Overcast"
"324, East McKinney Street, Denton, Denton County, Texas, 76201, United States","01/19/1970 04:12:07",22.2,22.2,22.2,15.2,,,74.02,,,,,,,,360.0,,,,0.0,,,9.9,100.0,,"",33.216,-97.1288,"324 E McKinney St, Denton, TX 76201, United States","324 E McKinney St, Denton, TX 76201, United States","","Overcast"
